2020-01-15T22:19:54.591-0800 [main] Starting OrderConsumerApplication on C02PW5F0G8WP with PID 43966 (/Users/nchapa/Documents/Test/order-consumer/target/classes started by nchapa in /Users/nchapa/Documents/Test/order-consumer)
2020-01-15T22:19:54.594-0800 [main] No active profile set, falling back to default profiles: default
2020-01-15T22:19:54.757-0800 [background-preinit] HV000001: Hibernate Validator 5.2.4.Final
2020-01-15T22:19:57.459-0800 [main] Started OrderConsumerApplication in 3.228 seconds (JVM running for 6.452)
2020-01-15T22:20:00.454-0800 [Timer-3] Driver picked up order: Order: [name: Vegan Pizza, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:20:32.221-0800 [Timer-75] Driver picked up order: Order: [name: Hamburger, temp: hot, shelfLife: 200.0, decayRate: 0.63 ]
2020-01-15T22:20:32.236-0800 [Timer-97] Driver picked up order: Order: [name: Fudge Ice Cream Cake, temp: frozen, shelfLife: 415.0, decayRate: 0.49 ]
2020-01-15T22:20:32.408-0800 [Timer-79] Driver picked up order: Order: [name: Beef Stew, temp: hot, shelfLife: 206.0, decayRate: 0.69 ]
2020-01-15T22:20:32.413-0800 [Timer-77] Driver picked up order: Order: [name: Pressed Juice, temp: cold, shelfLife: 250.0, decayRate: 0.2 ]
2020-01-15T22:20:32.417-0800 [Timer-103] Driver picked up order: Order: [name: Coke, temp: cold, shelfLife: 240.0, decayRate: 0.25 ]
2020-01-15T22:20:32.417-0800 [Timer-96] Driver picked up order: Order: [name: Poppers, temp: hot, shelfLife: 204.0, decayRate: 0.78 ]
2020-01-15T22:20:32.418-0800 [Timer-102] Driver picked up order: Order: [name: Acai Bowl, temp: cold, shelfLife: 249.0, decayRate: 0.3 ]
2020-01-15T22:20:32.421-0800 [Timer-108] Driver picked up order: Order: [name: Orange Sorbet, temp: frozen, shelfLife: 165.0, decayRate: 0.65 ]
2020-01-15T22:20:33.225-0800 [Timer-78] Driver picked up order: Order: [name: Pastrami Sandwich, temp: hot, shelfLife: 190.0, decayRate: 0.8 ]
2020-01-15T22:20:33.225-0800 [Timer-84] Driver picked up order: Order: [name: Kebab, temp: hot, shelfLife: 200.0, decayRate: 0.54 ]
2020-01-15T22:20:33.227-0800 [Timer-88] Driver picked up order: Order: [name: Burrito, temp: hot, shelfLife: 202.0, decayRate: 0.72 ]
2020-01-15T22:20:33.237-0800 [Timer-104] Driver picked up order: Order: [name: Fresh Bread, temp: hot, shelfLife: 201.0, decayRate: 0.9 ]
2020-01-15T22:20:33.427-0800 [Timer-105] Driver picked up order: Order: [name: Grilled Corn Salad, temp: cold, shelfLife: 305.0, decayRate: 0.1 ]
2020-01-15T22:20:34.163-0800 [Timer-113] Driver picked up order: Order: [name: Fudge Ice Cream Cake, temp: frozen, shelfLife: 415.0, decayRate: 0.49 ]
2020-01-15T22:20:34.411-0800 [Timer-85] Driver picked up order: Order: [name: Beef Stew, temp: hot, shelfLife: 206.0, decayRate: 0.69 ]
2020-01-15T22:20:35.249-0800 [Timer-117] Driver picked up order: Order: [name: Chicken Nuggets, temp: hot, shelfLife: 205.0, decayRate: 0.71 ]
2020-01-15T22:20:36.162-0800 [Timer-100] Driver picked up order: Order: [name: Cheese, temp: cold, shelfLife: 255.0, decayRate: 0.2 ]
2020-01-15T22:20:36.236-0800 [Timer-101] Driver picked up order: Order: [name: Fresh Fruit, temp: cold, shelfLife: 252.0, decayRate: 0.29 ]
2020-01-15T22:20:36.243-0800 [Timer-107] Driver picked up order: Order: [name: Ice Cream Sandwich, temp: frozen, shelfLife: 250.0, decayRate: 0.5 ]
2020-01-15T22:20:36.417-0800 [Timer-93] Driver picked up order: Order: [name: Spinach Omelet, temp: hot, shelfLife: 230.0, decayRate: 0.63 ]
2020-01-15T22:20:36.417-0800 [Timer-95] Driver picked up order: Order: [name: Apples, temp: cold, shelfLife: 244.0, decayRate: 0.23 ]
2020-01-15T22:20:37.420-0800 [Timer-98] Driver picked up order: Order: [name: Beef Hash, temp: hot, shelfLife: 30.0, decayRate: 0.74 ]
2020-01-15T22:20:37.424-0800 [Timer-106] Driver picked up order: Order: [name: Pork Chop, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:20:37.427-0800 [Timer-116] Driver picked up order: Order: [name: Coke, temp: cold, shelfLife: 240.0, decayRate: 0.25 ]
2020-01-15T22:20:38.423-0800 [Timer-112] Driver picked up order: Order: [name: Mint Chocolate Ice Cream, temp: frozen, shelfLife: 290.0, decayRate: 0.5 ]
2020-01-15T22:20:38.426-0800 [Timer-128] Driver picked up order: Order: [name: Spinach Omelet, temp: hot, shelfLife: 230.0, decayRate: 0.63 ]
2020-01-15T22:20:39.260-0800 [Timer-130] Driver picked up order: Order: [name: Corn Dog, temp: hot, shelfLife: 203.0, decayRate: 0.3 ]
2020-01-15T22:20:39.264-0800 [Timer-130] Error: org.apache.http.conn.HttpHostConnectException: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused
2020-01-15T22:20:39.420-0800 [Timer-109] Driver picked up order: Order: [name: Orange Chicken, temp: hot, shelfLife: 215.0, decayRate: 0.67 ]
2020-01-15T22:20:39.423-0800 [Timer-109] Error: org.apache.http.conn.HttpHostConnectException: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused
2020-01-15T22:20:39.424-0800 [Timer-121] Driver picked up order: Order: [name: Milk, temp: cold, shelfLife: 252.0, decayRate: 0.15 ]
2020-01-15T22:20:39.426-0800 [Timer-121] Error: org.apache.http.conn.HttpHostConnectException: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused
2020-01-15T22:20:40.250-0800 [Timer-123] Driver picked up order: Order: [name: Onion Rings, temp: hot, shelfLife: 201.0, decayRate: 0.7 ]
2020-01-15T22:20:40.254-0800 [Timer-123] Error: org.apache.http.conn.HttpHostConnectException: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused
